sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-01-15 05:24:33.926802+00:00,3.3734016,9.7674036,26.5206985,18.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.98,0,9.7674036
2,2022-01-15 05:24:37.300712+00:00,3.3737750,9.7652426,26.5187225,18.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.98,0,9.7652426
3,2022-01-15 05:24:40.675086+00:00,3.3738780,9.7646465,26.5047398,18.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.98,0,9.7646465
4,2022-01-15 05:24:44.048772+00:00,3.3731608,9.7687988,26.4767704,18.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.98,0,9.7687988
5,2022-01-15 05:24:47.422544+00:00,3.3732939,9.7680273,26.4483471,18.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.98,0,9.7680273
6,2022-01-15 05:24:50.796804+00:00,3.3737733,9.7652521,26.4071102,18.97,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.97,0,9.7652521
7,2022-01-15 05:24:54.170755+00:00,3.3734908,9.7668877,26.3612995,18.99,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.99,0,9.7668877
8,2022-01-15 05:24:57.544813+00:00,3.3735898,9.7663155,26.3290863,18.99,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.99,0,9.7663155
9,2022-01-15 05:25:00.918567+00:00,3.3733547,9.7676764,26.3217258,19.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.01,0,9.7676764
10,2022-01-15 05:25:04.292677+00:00,3.3735487,9.7665529,26.3205433,18.97,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.97,0,9.7665529
11,2022-01-15 05:25:07.666994+00:00,3.3739357,9.7643118,26.3079529,19.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.01,0,9.7643118
12,2022-01-15 05:25:11.040973+00:00,3.3735981,9.7662659,26.2818546,18.99,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.99,0,9.7662659
13,2022-01-15 05:25:14.414387+00:00,3.3731115,9.7690840,26.2574043,18.96,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.96,0,9.7690840
14,2022-01-15 05:25:17.788224+00:00,3.3734798,9.7669506,26.2196617,18.97,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.97,0,9.7669506
15,2022-01-15 05:25:21.162243+00:00,3.3736701,9.7658491,26.1903629,18.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.98,0,9.7658491
16,2022-01-15 05:25:24.535976+00:00,3.3735228,9.7667027,26.1356430,18.97,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.97,0,9.7667027
17,2022-01-15 05:25:27.909872+00:00,3.3735552,9.7665148,26.1119652,18.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.98,0,9.7665148
18,2022-01-15 05:25:31.283542+00:00,3.3733401,9.7677603,26.1140881,19.00,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.00,0,9.7677603
19,2022-01-15 05:25:34.657317+00:00,3.3735867,9.7663326,26.1010551,19.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.01,0,9.7663326
20,2022-01-15 05:25:38.031632+00:00,3.3739977,9.7639542,26.0967674,19.00,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.00,0,9.7639542
21,2022-01-15 05:25:41.405168+00:00,3.3733487,9.7677107,26.0675354,19.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.01,0,9.7677107
22,2022-01-15 05:25:44.778540+00:00,3.3731675,9.7687597,26.0412102,18.99,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.99,0,9.7687597
23,2022-01-15 05:25:48.152331+00:00,3.3736610,9.7659016,26.0047436,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7659016
24,2022-01-15 05:25:51.526240+00:00,3.3735845,9.7663450,25.9578133,18.99,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.99,0,9.7663450
25,2022-01-15 05:25:54.899842+00:00,3.3734598,9.7670670,25.9210377,18.99,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.99,0,9.7670670
26,2022-01-15 05:25:58.273543+00:00,3.3734980,9.7668467,25.9068680,19.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.01,0,9.7668467
