sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-03-04 14:24:35.051141+00:00,3.3734107,9.7673512,26.6786537,20.35,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.35,0,9.7673512
2,2022-03-04 14:24:38.424045+00:00,3.3734834,9.7669306,26.6636658,20.39,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.39,0,9.7669306
3,2022-03-04 14:24:41.797811+00:00,3.3736851,9.7657633,26.6621685,20.37,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.37,0,9.7657633
4,2022-03-04 14:24:45.171424+00:00,3.3734837,9.7669287,26.6353645,20.34,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.34,0,9.7669287
5,2022-03-04 14:24:48.544892+00:00,3.3733430,9.7677441,26.6112938,20.38,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.38,0,9.7677441
6,2022-03-04 14:24:51.918493+00:00,3.3734610,9.7670593,26.5738506,20.39,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.39,0,9.7670593
7,2022-03-04 14:24:55.292096+00:00,3.3736887,9.7657413,26.5417023,20.33,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.33,0,9.7657413
8,2022-03-04 14:24:58.665908+00:00,3.3735476,9.7665596,26.4974480,20.36,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.36,0,9.7665596
9,2022-03-04 14:25:02.039264+00:00,3.3734083,9.7673655,26.4795914,20.28,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.28,0,9.7673655
10,2022-03-04 14:25:05.413022+00:00,3.3733792,9.7675343,26.4737206,20.34,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.34,0,9.7675343
11,2022-03-04 14:25:08.786745+00:00,3.3735940,9.7662897,26.4643345,20.36,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.36,0,9.7662897
12,2022-03-04 14:25:12.160599+00:00,3.3737440,9.7654219,26.4491444,20.36,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.36,0,9.7654219
13,2022-03-04 14:25:15.533978+00:00,3.3733525,9.7676878,26.4251995,20.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.32,0,9.7676878
14,2022-03-04 14:25:18.907397+00:00,3.3733399,9.7677622,26.3986835,20.45,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.45,0,9.7677622
15,2022-03-04 14:25:22.280804+00:00,3.3736098,9.7661991,26.3653049,20.34,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.34,0,9.7661991
16,2022-03-04 14:25:25.654663+00:00,3.3735914,9.7663059,26.3314533,20.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.32,0,9.7663059
17,2022-03-04 14:25:29.028336+00:00,3.3734784,9.7669592,26.2925491,20.30,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.30,0,9.7669592
18,2022-03-04 14:25:32.401795+00:00,3.3733931,9.7674532,26.2867832,20.35,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.35,0,9.7674532
19,2022-03-04 14:25:35.775300+00:00,3.3734546,9.7670975,26.2724915,20.33,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.33,0,9.7670975
20,2022-03-04 14:25:39.148818+00:00,3.3736675,9.7658653,26.2635002,20.36,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.36,0,9.7658653
21,2022-03-04 14:25:42.522599+00:00,3.3736036,9.7662344,26.2452888,20.35,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.35,0,9.7662344
22,2022-03-04 14:25:45.896119+00:00,3.3732910,9.7680454,26.2151489,20.41,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.41,0,9.7680454
23,2022-03-04 14:25:49.269586+00:00,3.3733969,9.7674322,26.1804657,20.36,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.36,0,9.7674322
24,2022-03-04 14:25:52.643387+00:00,3.3737161,9.7655830,26.1489868,20.34,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.34,0,9.7655830
