sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-04-05 12:48:35.391189+00:00,3.3733687,9.7675953,26.6668110,21.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.04,0,9.7675953
2,2022-04-05 12:48:38.764556+00:00,3.3742566,9.7624550,26.6744823,21.05,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.05,0,9.7624550
3,2022-04-05 12:48:42.138322+00:00,3.3739438,9.7642651,26.6702652,21.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.04,0,9.7642651
4,2022-04-05 12:48:45.510826+00:00,3.3727279,9.7713070,26.6266232,21.03,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.03,0,9.7713070
5,2022-04-05 12:48:48.883882+00:00,3.3731236,9.7690134,26.5937805,21.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.01,0,9.7690134
6,2022-04-05 12:48:52.257368+00:00,3.3737123,9.7656050,26.5602837,21.02,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.02,0,9.7656050
7,2022-04-05 12:48:55.630843+00:00,3.3735769,9.7663898,26.5039864,21.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.04,0,9.7663898
8,2022-04-05 12:48:59.004020+00:00,3.3734050,9.7673845,26.4752693,21.06,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.06,0,9.7673845
9,2022-04-05 12:49:02.377196+00:00,3.3734002,9.7674122,26.4638882,21.06,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.06,0,9.7674122
10,2022-04-05 12:49:05.750937+00:00,3.3736577,9.7659216,26.4689083,21.06,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.06,0,9.7659216
11,2022-04-05 12:49:09.125340+00:00,3.3743660,9.7618217,26.4703636,21.05,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.05,0,9.7618217
12,2022-04-05 12:49:12.498517+00:00,3.3733745,9.7675610,26.4618969,21.06,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.06,0,9.7675610
13,2022-04-05 12:49:15.871003+00:00,3.3726506,9.7717543,26.4145412,21.06,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.06,0,9.7717543
14,2022-04-05 12:49:19.244514+00:00,3.3735807,9.7663670,26.3832436,21.06,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.06,0,9.7663670
15,2022-04-05 12:49:22.617828+00:00,3.3734808,9.7669458,26.3274841,21.05,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.05,0,9.7669458
16,2022-04-05 12:49:25.991330+00:00,3.3736539,9.7659435,26.3001652,21.05,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.05,0,9.7659435
17,2022-04-05 12:49:29.364693+00:00,3.3734260,9.7672634,26.2734146,21.06,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.06,0,9.7672634
18,2022-04-05 12:49:32.737868+00:00,3.3733282,9.7678289,26.2863445,21.05,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.05,0,9.7678289
