sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-02-11 07:24:33.967257+00:00,3.3735147,9.7667494,26.6885471,20.24,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.24,0,9.7667494
2,2022-02-11 07:24:37.340676+00:00,3.3736341,9.7660580,26.6593819,20.17,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.17,0,9.7660580
3,2022-02-11 07:24:40.714680+00:00,3.3735328,9.7666454,26.6379776,20.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.19,0,9.7666454
4,2022-02-11 07:24:44.088174+00:00,3.3732266,9.7684183,26.6366005,20.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.16,0,9.7684183
5,2022-02-11 07:24:47.462940+00:00,3.3740768,9.7634954,26.6469879,20.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.16,0,9.7634954
6,2022-02-11 07:24:50.837409+00:00,3.3740816,9.7634678,26.6323013,20.21,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.21,0,9.7634678
7,2022-02-11 07:24:54.211003+00:00,3.3729124,9.7702370,26.6061726,20.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.16,0,9.7702370
8,2022-02-11 07:24:57.584340+00:00,3.3730664,9.7693453,26.5669003,20.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.16,0,9.7693453
9,2022-02-11 07:25:00.958902+00:00,3.3737280,9.7655144,26.5295601,20.11,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.11,0,9.7655144
10,2022-02-11 07:25:04.333153+00:00,3.3735325,9.7666454,26.4727116,20.21,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.21,0,9.7666454
11,2022-02-11 07:25:07.707069+00:00,3.3734555,9.7670918,26.4442024,20.20,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.20,0,9.7670918
12,2022-02-11 07:25:11.081094+00:00,3.3733861,9.7674932,26.4341831,20.18,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.18,0,9.7674932
13,2022-02-11 07:25:14.455288+00:00,3.3735666,9.7664490,26.4452572,20.20,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.20,0,9.7664490
14,2022-02-11 07:25:17.830111+00:00,3.3742616,9.7624254,26.4499893,20.18,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.18,0,9.7624254
15,2022-02-11 07:25:21.204422+00:00,3.3736663,9.7658720,26.4300175,20.18,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.18,0,9.7658720
