sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-03-12 23:36:34.095603+00:00,3.3751431,9.7573280,26.7152920,20.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.32,0,9.7573280
2,2022-03-12 23:36:37.468052+00:00,3.3730648,9.7693548,26.7164135,20.25,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.25,0,9.7693548
3,2022-03-12 23:36:40.841650+00:00,3.3736138,9.7661753,26.6904087,20.33,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.33,0,9.7661753
4,2022-03-12 23:36:44.215343+00:00,3.3734994,9.7668381,26.7153873,20.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.32,0,9.7668381
5,2022-03-12 23:36:47.587929+00:00,3.3724298,9.7730331,26.5723610,20.28,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.28,0,9.7730331
6,2022-03-12 23:36:50.961800+00:00,3.3738208,9.7649765,26.4414616,20.31,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.31,0,9.7649765
7,2022-03-12 23:36:54.335481+00:00,3.3735933,9.7662945,26.4247799,20.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.32,0,9.7662945
8,2022-03-12 23:36:57.708576+00:00,3.3730903,9.7692080,26.3869267,20.28,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.28,0,9.7692080
9,2022-03-12 23:37:01.081740+00:00,3.3732123,9.7685003,26.4434299,20.29,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.29,0,9.7685003
10,2022-03-12 23:37:04.456741+00:00,3.3745446,9.7607889,26.5481453,20.29,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.29,0,9.7607889
11,2022-03-12 23:37:07.830570+00:00,3.3736868,9.7657528,26.5040569,20.30,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.30,0,9.7657528
12,2022-03-12 23:37:11.203971+00:00,3.3735096,9.7667789,26.4909592,20.29,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.29,0,9.7667789
13,2022-03-12 23:37:14.576267+00:00,3.3720813,9.7750540,26.4599953,20.27,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.27,0,9.7750540
14,2022-03-12 23:37:17.950298+00:00,3.3739152,9.7644310,26.3321953,20.31,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.31,0,9.7644310
15,2022-03-12 23:37:21.324243+00:00,3.3739657,9.7641382,26.2412758,20.31,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.31,0,9.7641382
16,2022-03-12 23:37:24.697634+00:00,3.3732738,9.7681446,26.2139530,20.35,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.35,0,9.7681446
17,2022-03-12 23:37:28.070737+00:00,3.3730843,9.7692423,26.1943588,20.28,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.28,0,9.7692423
18,2022-03-12 23:37:31.445920+00:00,3.3750758,9.7577162,26.2749882,20.30,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.30,0,9.7577162
19,2022-03-12 23:37:34.819115+00:00,3.3731241,9.7690115,26.3266697,20.30,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.30,0,9.7690115
20,2022-03-12 23:37:38.192588+00:00,3.3734961,9.7668581,26.3054733,20.29,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.29,0,9.7668581
21,2022-03-12 23:37:41.566563+00:00,3.3738546,9.7647820,26.2718658,20.30,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.30,0,9.7647820
22,2022-03-12 23:37:44.938482+00:00,3.3719220,9.7759781,26.1739941,20.31,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.31,0,9.7759781
23,2022-03-12 23:37:48.312375+00:00,3.3738141,9.7650156,26.0876236,20.36,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.36,0,9.7650156
24,2022-03-12 23:37:51.686149+00:00,3.3737879,9.7651682,26.0009842,20.36,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.36,0,9.7651682
25,2022-03-12 23:37:55.059243+00:00,3.3730283,9.7695675,25.9718761,20.30,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.30,0,9.7695675
26,2022-03-12 23:37:58.432288+00:00,3.3730175,9.7696285,26.0369415,20.28,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.28,0,9.7696285
27,2022-03-12 23:38:01.807669+00:00,3.3752947,9.7564507,26.1428738,20.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.32,0,9.7564507
28,2022-03-12 23:38:05.180884+00:00,3.3731160,9.7690582,26.1348190,20.34,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.34,0,9.7690582
