sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-04-09 10:00:34.711544+00:00,3.3751774,9.7571287,26.6879520,21.34,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.34,0,9.7571287
2,2022-04-09 10:00:38.084128+00:00,3.3730764,9.7692871,26.6985703,21.35,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.35,0,9.7692871
3,2022-04-09 10:00:41.457686+00:00,3.3733897,9.7674732,26.6786041,21.35,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.35,0,9.7674732
4,2022-04-09 10:00:44.831662+00:00,3.3735707,9.7664261,26.6801777,21.37,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.37,0,9.7664261
5,2022-04-09 10:00:48.204499+00:00,3.3725281,9.7724648,26.5529156,21.36,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.36,0,9.7724648
6,2022-04-09 10:00:51.578519+00:00,3.3737772,9.7652302,26.4314690,21.35,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.35,0,9.7652302
7,2022-04-09 10:00:54.952352+00:00,3.3735957,9.7662811,26.3871593,21.37,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.37,0,9.7662811
8,2022-04-09 10:00:58.326094+00:00,3.3734665,9.7670279,26.3708229,21.37,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.37,0,9.7670279
9,2022-04-09 10:01:01.699386+00:00,3.3730264,9.7695770,26.4256897,21.36,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.36,0,9.7695770
10,2022-04-09 10:01:05.074876+00:00,3.3750889,9.7576399,26.5152378,21.35,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.35,0,9.7576399
11,2022-04-09 10:01:08.448497+00:00,3.3732934,9.7680311,26.4863529,21.34,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.34,0,9.7680311
12,2022-04-09 10:01:11.822642+00:00,3.3738987,9.7645264,26.4582138,21.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.32,0,9.7645264
13,2022-04-09 10:01:15.194485+00:00,3.3716567,9.7775173,26.4244041,21.39,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.39,0,9.7775173
14,2022-04-09 10:01:18.568818+00:00,3.3740716,9.7635250,26.3087635,21.36,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.36,0,9.7635250
15,2022-04-09 10:01:21.941912+00:00,3.3735895,9.7663155,26.2165070,21.39,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.39,0,9.7663155
16,2022-04-09 10:01:25.315167+00:00,3.3734429,9.7671652,26.1861820,21.34,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.34,0,9.7671652
17,2022-04-09 10:01:28.687916+00:00,3.3731298,9.7689781,26.1982899,21.36,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.36,0,9.7689781
18,2022-04-09 10:01:32.062421+00:00,3.3748116,9.7592440,26.2555351,21.37,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.37,0,9.7592440
19,2022-04-09 10:01:35.435193+00:00,3.3732283,9.7684078,26.3383503,21.35,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.35,0,9.7684078
20,2022-04-09 10:01:38.808673+00:00,3.3736377,9.7660370,26.2896767,21.38,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.38,0,9.7660370
21,2022-04-09 10:01:42.182172+00:00,3.3740747,9.7635069,26.2915058,21.42,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.42,0,9.7635069
22,2022-04-09 10:01:45.553735+00:00,3.3718147,9.7766008,26.1626415,21.42,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.42,0,9.7766008
23,2022-04-09 10:01:48.927521+00:00,3.3737659,9.7652950,26.1055508,21.38,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.38,0,9.7652950
24,2022-04-09 10:01:52.300983+00:00,3.3737397,9.7654467,26.0133972,21.37,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.37,0,9.7654467
25,2022-04-09 10:01:55.673976+00:00,3.3731830,9.7686701,25.9877224,21.41,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.41,0,9.7686701
26,2022-04-09 10:01:59.046859+00:00,3.3731451,9.7688894,26.0191765,21.41,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.41,0,9.7688894
27,2022-04-09 10:02:02.422062+00:00,3.3753445,9.7561636,26.1096344,21.40,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.40,0,9.7561636
28,2022-04-09 10:02:05.794786+00:00,3.3730738,9.7693024,26.0951462,21.42,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.42,0,9.7693024
29,2022-04-09 10:02:09.168177+00:00,3.3734789,9.7669573,26.0750923,21.43,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.43,0,9.7669573
30,2022-04-09 10:02:12.540768+00:00,3.3727601,9.7711201,26.0780773,21.42,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.42,0,9.7711201
31,2022-04-09 10:02:15.913949+00:00,3.3733435,9.7677402,25.9592781,21.41,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.41,0,9.7677402
32,2022-04-09 10:02:19.287353+00:00,3.3735456,9.7665701,25.8388290,21.44,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.44,0,9.7665701
33,2022-04-09 10:02:22.660609+00:00,3.3735020,9.7668219,25.8037262,21.44,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.44,0,9.7668219
34,2022-04-09 10:02:26.034084+00:00,3.3734908,9.7668877,25.7753716,21.38,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.38,0,9.7668877
35,2022-04-09 10:02:29.407279+00:00,3.3733392,9.7677650,25.8423615,21.45,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.45,0,9.7677650
36,2022-04-09 10:02:32.781776+00:00,3.3746238,9.7603302,25.9351311,21.47,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.47,0,9.7603302
37,2022-04-09 10:02:36.155026+00:00,3.3733783,9.7675390,25.8963985,21.47,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.47,0,9.7675390
38,2022-04-09 10:02:39.528916+00:00,3.3739500,9.7642298,25.8709774,21.47,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.47,0,9.7642298
39,2022-04-09 10:02:42.900494+00:00,3.3716745,9.7774134,25.7939186,21.47,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.47,0,9.7774134
40,2022-04-09 10:02:46.274209+00:00,3.3738146,9.7650127,25.7375374,21.46,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.46,0,9.7650127
41,2022-04-09 10:02:49.647961+00:00,3.3737800,9.7652140,25.6332531,21.46,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.46,0,9.7652140
42,2022-04-09 10:02:53.021202+00:00,3.3733912,9.7674646,25.6080818,21.53,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.53,0,9.7674646
43,2022-04-09 10:02:56.394350+00:00,3.3731813,9.7686806,25.6374321,21.48,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.48,0,9.7686806
44,2022-04-09 10:02:59.769365+00:00,3.3750620,9.7577963,25.6865711,21.49,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.49,0,9.7577963
45,2022-04-09 10:03:03.142204+00:00,3.3729396,9.7700806,25.7366276,21.45,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.45,0,9.7700806
46,2022-04-09 10:03:06.515678+00:00,3.3734424,9.7671680,25.7043915,21.48,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.48,0,9.7671680
47,2022-04-09 10:03:09.889492+00:00,3.3740029,9.7639227,25.7153282,21.45,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.45,0,9.7639227
48,2022-04-09 10:03:13.261463+00:00,3.3718915,9.7761555,25.5845585,21.45,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.45,0,9.7761555
49,2022-04-09 10:03:16.635375+00:00,3.3739343,9.7643204,25.4952793,21.47,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.47,0,9.7643204
50,2022-04-09 10:03:20.008884+00:00,3.3735256,9.7666864,25.4353809,21.49,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.49,0,9.7666864
51,2022-04-09 10:03:23.382159+00:00,3.3733304,9.7678165,25.4091053,21.50,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.50,0,9.7678165
52,2022-04-09 10:03:26.755210+00:00,3.3729596,9.7699642,25.4410381,21.50,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.50,0,9.7699642
53,2022-04-09 10:03:30.130489+00:00,3.3754587,9.7555037,25.5384769,21.51,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.51,0,9.7555037
54,2022-04-09 10:03:33.503356+00:00,3.3729706,9.7699003,25.5071697,21.45,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.45,0,9.7699003
55,2022-04-09 10:03:36.877273+00:00,3.3737545,9.7653608,25.4872055,21.52,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.52,0,9.7653608
56,2022-04-09 10:03:40.249456+00:00,3.3720198,9.7754107,25.4886627,21.51,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.51,0,9.7754107
57,2022-04-09 10:03:43.623364+00:00,3.3739262,9.7643681,25.3657207,21.53,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.53,0,9.7643681
58,2022-04-09 10:03:46.996885+00:00,3.3734288,9.7672472,25.2543774,21.49,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.49,0,9.7672472
59,2022-04-09 10:03:50.370304+00:00,3.3734336,9.7672195,25.2272377,21.53,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.53,0,9.7672195
60,2022-04-09 10:03:53.743686+00:00,3.3733397,9.7677631,25.2154999,21.55,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.55,0,9.7677631
61,2022-04-09 10:03:57.117632+00:00,3.3740578,9.7636061,25.2755852,21.56,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.56,0,9.7636061
