sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-03-27 19:36:35.414750+00:00,3.3737264,9.7655239,26.6186714,20.33,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.33,0,9.7655239
2,2022-03-27 19:36:38.788063+00:00,3.3736520,9.7659540,26.5250111,20.33,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.33,0,9.7659540
3,2022-03-27 19:36:42.161770+00:00,3.3734336,9.7672195,26.4865189,20.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.32,0,9.7672195
4,2022-03-27 19:36:45.535133+00:00,3.3730311,9.7695494,26.5380478,20.28,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.28,0,9.7695494
5,2022-03-27 19:36:48.910638+00:00,3.3752189,9.7568893,26.6075954,20.31,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.31,0,9.7568893
6,2022-03-27 19:36:52.283946+00:00,3.3729925,9.7697735,26.6460609,20.33,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.33,0,9.7697735
7,2022-03-27 19:36:55.658234+00:00,3.3739941,9.7639742,26.5969524,20.34,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.34,0,9.7639742
8,2022-03-27 19:36:59.030876+00:00,3.3722410,9.7741280,26.5930214,20.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.32,0,9.7741280
9,2022-03-27 19:37:02.404028+00:00,3.3731990,9.7685776,26.4740009,20.28,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.28,0,9.7685776
10,2022-03-27 19:37:05.778409+00:00,3.3736620,9.7658968,26.3674450,20.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.32,0,9.7658968
11,2022-03-27 19:37:09.152196+00:00,3.3735294,9.7666636,26.3183155,20.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.32,0,9.7666636
12,2022-03-27 19:37:12.525968+00:00,3.3734620,9.7670546,26.3122654,20.30,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.30,0,9.7670546
13,2022-03-27 19:37:15.899181+00:00,3.3732464,9.7683029,26.3538094,20.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.32,0,9.7683029
14,2022-03-27 19:37:19.274836+00:00,3.3750916,9.7576256,26.4367809,20.30,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.30,0,9.7576256
15,2022-03-27 19:37:22.647882+00:00,3.3729515,9.7700109,26.4121094,20.34,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.34,0,9.7700109
16,2022-03-27 19:37:26.022144+00:00,3.3739686,9.7641220,26.4265099,20.31,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.31,0,9.7641220
17,2022-03-27 19:37:29.394182+00:00,3.3716555,9.7775240,26.2973652,20.33,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.33,0,9.7775240
18,2022-03-27 19:37:32.768393+00:00,3.3740978,9.7633734,26.2247028,20.33,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.33,0,9.7633734
19,2022-03-27 19:37:36.142075+00:00,3.3734035,9.7673931,26.1391430,20.34,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.34,0,9.7673931
20,2022-03-27 19:37:39.515482+00:00,3.3732512,9.7682753,26.1173096,20.32,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.32,0,9.7682753
