sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-03-04 08:12:34.974942+00:00,3.3734870,9.7669096,26.6751251,20.39,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.39,0,9.7669096
2,2022-03-04 08:12:38.348402+00:00,3.3735747,9.7664013,26.6463451,20.39,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.39,0,9.7664013
3,2022-03-04 08:12:41.722435+00:00,3.3733792,9.7675343,26.6352215,20.40,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.40,0,9.7675343
4,2022-03-04 08:12:45.096349+00:00,3.3734679,9.7670202,26.6398544,20.38,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.38,0,9.7670202
5,2022-03-04 08:12:48.470444+00:00,3.3739204,9.7644005,26.6385727,20.39,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.39,0,9.7644005
6,2022-03-04 08:12:51.844534+00:00,3.3736348,9.7660532,26.6138077,20.38,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.38,0,9.7660532
7,2022-03-04 08:12:55.218055+00:00,3.3730307,9.7695522,26.5859203,20.41,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.41,0,9.7695522
8,2022-03-04 08:12:58.591707+00:00,3.3734078,9.7673683,26.5560570,20.37,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.37,0,9.7673683
9,2022-03-04 08:13:01.965655+00:00,3.3737197,9.7655621,26.5239029,20.35,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.35,0,9.7655621
10,2022-03-04 08:13:05.339559+00:00,3.3734550,9.7670956,26.4661407,20.38,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.38,0,9.7670956
11,2022-03-04 08:13:08.713265+00:00,3.3734818,9.7669401,26.4446468,20.39,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.39,0,9.7669401
12,2022-03-04 08:13:12.086714+00:00,3.3733282,9.7678289,26.4449291,20.35,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.35,0,9.7678289
13,2022-03-04 08:13:15.460513+00:00,3.3736801,9.7657909,26.4393559,20.40,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.40,0,9.7657909
14,2022-03-04 08:13:18.834588+00:00,3.3740115,9.7638731,26.4362888,20.42,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.42,0,9.7638731
15,2022-03-04 08:13:22.207831+00:00,3.3732681,9.7681770,26.4019032,20.39,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.39,0,9.7681770
16,2022-03-04 08:13:25.581047+00:00,3.3730540,9.7694178,26.3742695,20.37,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.37,0,9.7694178
17,2022-03-04 08:13:28.954577+00:00,3.3735871,9.7663307,26.3430214,20.38,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.38,0,9.7663307
18,2022-03-04 08:13:32.327887+00:00,3.3735404,9.7666006,26.3004684,20.34,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.34,0,9.7666006
19,2022-03-04 08:13:35.701623+00:00,3.3735211,9.7667131,26.2547741,20.38,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.38,0,9.7667131
20,2022-03-04 08:13:39.075005+00:00,3.3734488,9.7671309,26.2407436,20.38,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.38,0,9.7671309
21,2022-03-04 08:13:42.448271+00:00,3.3733392,9.7677650,26.2395229,20.38,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.38,0,9.7677650
22,2022-03-04 08:13:45.822002+00:00,3.3738828,9.7646189,26.2428665,20.37,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.37,0,9.7646189
23,2022-03-04 08:13:49.195468+00:00,3.3738008,9.7650938,26.2291737,20.40,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.40,0,9.7650938
24,2022-03-04 08:13:52.568603+00:00,3.3730638,9.7693615,26.1955547,20.37,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.37,0,9.7693615
25,2022-03-04 08:13:55.941449+00:00,3.3732285,9.7684069,26.1675034,20.39,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.39,0,9.7684069
