sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-04-21 15:00:35.121392+00:00,3.3751760,9.7571373,26.7360764,20.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.16,0,9.7571373
2,2022-04-21 15:00:38.493344+00:00,3.3729091,9.7702570,26.7710991,20.21,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.21,0,9.7702570
3,2022-04-21 15:00:41.866978+00:00,3.3737092,9.7656231,26.7113953,20.18,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.18,0,9.7656231
4,2022-04-21 15:00:45.240092+00:00,3.3730583,9.7693930,26.7243290,20.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.16,0,9.7693930
5,2022-04-21 15:00:48.612627+00:00,3.3727765,9.7710247,26.6079025,20.14,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.14,0,9.7710247
6,2022-04-21 15:00:51.986300+00:00,3.3737826,9.7651978,26.4977303,20.17,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.17,0,9.7651978
7,2022-04-21 15:00:55.359691+00:00,3.3734994,9.7668381,26.4570179,20.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.19,0,9.7668381
8,2022-04-21 15:00:58.733040+00:00,3.3735309,9.7666559,26.4240532,20.18,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.18,0,9.7666559
9,2022-04-21 15:01:02.105714+00:00,3.3728819,9.7704144,26.4832535,20.14,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.14,0,9.7704144
10,2022-04-21 15:01:05.481078+00:00,3.3753181,9.7563152,26.5738277,20.14,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.14,0,9.7563152
11,2022-04-21 15:01:08.853631+00:00,3.3727808,9.7709999,26.5356884,20.13,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.13,0,9.7709999
12,2022-04-21 15:01:12.227262+00:00,3.3740759,9.7635002,26.5333767,20.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.19,0,9.7635002
13,2022-04-21 15:01:15.598750+00:00,3.3717008,9.7772617,26.4610748,20.15,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.15,0,9.7772617
