sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-03-02 17:36:34.146354+00:00,3.3735952,9.7662830,26.7208138,20.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.19,0,9.7662830
2,2022-03-02 17:36:37.519281+00:00,3.3735092,9.7667809,26.6822281,20.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.19,0,9.7667809
3,2022-03-02 17:36:40.893041+00:00,3.3735025,9.7668200,26.6658592,20.17,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.17,0,9.7668200
4,2022-03-02 17:36:44.266531+00:00,3.3734002,9.7674122,26.6439686,20.21,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.21,0,9.7674122
5,2022-03-02 17:36:47.640542+00:00,3.3735518,9.7665348,26.6352444,20.20,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.20,0,9.7665348
6,2022-03-02 17:36:51.014196+00:00,3.3736033,9.7662363,26.6262684,20.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.19,0,9.7662363
7,2022-03-02 17:36:54.387971+00:00,3.3734508,9.7671204,26.5992279,20.18,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.18,0,9.7671204
8,2022-03-02 17:36:57.761616+00:00,3.3734205,9.7672949,26.5696411,20.22,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.22,0,9.7672949
9,2022-03-02 17:37:01.135379+00:00,3.3736157,9.7661638,26.5309982,20.13,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.13,0,9.7661638
10,2022-03-02 17:37:04.509148+00:00,3.3735089,9.7667828,26.5052795,20.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.19,0,9.7667828
11,2022-03-02 17:37:07.883039+00:00,3.3735368,9.7666206,26.4746361,20.17,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.17,0,9.7666206
12,2022-03-02 17:37:11.256571+00:00,3.3733428,9.7677450,26.4661407,20.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.16,0,9.7677450
13,2022-03-02 17:37:14.630086+00:00,3.3735037,9.7668133,26.4474106,20.14,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.14,0,9.7668133
14,2022-03-02 17:37:18.004035+00:00,3.3736198,9.7661409,26.4398232,20.20,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.20,0,9.7661409
15,2022-03-02 17:37:21.377625+00:00,3.3734801,9.7669506,26.4153805,20.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.19,0,9.7669506
16,2022-03-02 17:37:24.751154+00:00,3.3733423,9.7677469,26.3923607,20.18,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.18,0,9.7677469
17,2022-03-02 17:37:28.124819+00:00,3.3734841,9.7669258,26.3534832,20.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.19,0,9.7669258
18,2022-03-02 17:37:31.498472+00:00,3.3736498,9.7659674,26.3249054,20.22,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.22,0,9.7659674
19,2022-03-02 17:37:34.872342+00:00,3.3735702,9.7664280,26.2970161,20.22,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.22,0,9.7664280
