sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-01-27 22:24:33.503948+00:00,3.3738127,9.7650242,26.6675720,20.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.19,0,9.7650242
2,2022-01-27 22:24:36.873566+00:00,3.3735471,9.7665615,26.6374798,20.07,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.07,0,9.7665615
3,2022-01-27 22:24:40.244347+00:00,3.3735123,9.7667637,26.6045132,20.15,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.15,0,9.7667637
4,2022-01-27 22:24:43.615282+00:00,3.3734102,9.7673540,26.5874100,20.09,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.09,0,9.7673540
5,2022-01-27 22:24:46.986911+00:00,3.3736248,9.7661114,26.5863209,20.18,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.18,0,9.7661114
6,2022-01-27 22:24:50.358676+00:00,3.3738065,9.7650604,26.5765476,20.14,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.14,0,9.7650604
7,2022-01-27 22:24:53.730454+00:00,3.3734708,9.7670031,26.5493259,20.14,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.14,0,9.7670031
8,2022-01-27 22:24:57.102396+00:00,3.3733373,9.7677765,26.5244465,20.14,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.14,0,9.7677765
9,2022-01-27 22:25:00.474255+00:00,3.3736267,9.7661009,26.4961071,20.12,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.12,0,9.7661009
10,2022-01-27 22:25:03.847119+00:00,3.3736513,9.7659578,26.4675713,20.12,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.12,0,9.7659578
11,2022-01-27 22:25:07.219380+00:00,3.3734889,9.7668991,26.4231644,20.12,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.12,0,9.7668991
12,2022-01-27 22:25:10.591668+00:00,3.3734932,9.7668743,26.4134655,20.12,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.12,0,9.7668743
13,2022-01-27 22:25:13.965268+00:00,3.3734915,9.7668829,26.3919411,20.15,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.15,0,9.7668829
14,2022-01-27 22:25:17.339553+00:00,3.3736026,9.7662401,26.3841763,20.17,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.17,0,9.7662401
15,2022-01-27 22:25:20.714120+00:00,3.3737671,9.7652884,26.3705444,20.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.16,0,9.7652884
16,2022-01-27 22:25:24.087699+00:00,3.3732986,9.7680006,26.3445339,20.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.16,0,9.7680006
