sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-03-08 13:36:34.792128+00:00,3.3740716,9.7635250,26.6944637,20.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.01,0,9.7635250
2,2022-03-08 13:36:38.166096+00:00,3.3746600,9.7601213,26.7346916,20.03,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.03,0,9.7601213
3,2022-03-08 13:36:41.539576+00:00,3.3734770,9.7669687,26.7390938,19.99,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.99,0,9.7669687
4,2022-03-08 13:36:44.911626+00:00,3.3720355,9.7753201,26.6657848,20.03,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.03,0,9.7753201
5,2022-03-08 13:36:48.284892+00:00,3.3732448,9.7683125,26.5937309,19.99,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.99,0,9.7683125
6,2022-03-08 13:36:51.658590+00:00,3.3738339,9.7649012,26.5391788,20.02,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.02,0,9.7649012
7,2022-03-08 13:36:55.032337+00:00,3.3736320,9.7660704,26.5154724,19.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.98,0,9.7660704
8,2022-03-08 13:36:58.405338+00:00,3.3730292,9.7695608,26.4870129,20.05,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.05,0,9.7695608
9,2022-03-08 13:37:01.778581+00:00,3.3733144,9.7679090,26.4820786,20.02,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.02,0,9.7679090
10,2022-03-08 13:37:05.153655+00:00,3.3749390,9.7585077,26.5118237,20.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.01,0,9.7585077
11,2022-03-08 13:37:08.527265+00:00,3.3738222,9.7649698,26.5422001,20.00,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.00,0,9.7649698
12,2022-03-08 13:37:11.900823+00:00,3.3732886,9.7680588,26.5233154,20.06,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.06,0,9.7680588
13,2022-03-08 13:37:15.272750+00:00,3.3718460,9.7764196,26.4117832,20.00,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.00,0,9.7764196
14,2022-03-08 13:37:18.646280+00:00,3.3736281,9.7660933,26.3825188,20.08,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.08,0,9.7660933
15,2022-03-08 13:37:22.020216+00:00,3.3739781,9.7640667,26.3284359,20.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.04,0,9.7640667
16,2022-03-08 13:37:25.393675+00:00,3.3734329,9.7672224,26.3080215,20.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.01,0,9.7672224
17,2022-03-08 13:37:28.766759+00:00,3.3731844,9.7686625,26.2762375,20.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.01,0,9.7686625
18,2022-03-08 13:37:32.140119+00:00,3.3734794,9.7669535,26.2899094,20.03,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.03,0,9.7669535
19,2022-03-08 13:37:35.515257+00:00,3.3750334,9.7579613,26.3271351,19.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.98,0,9.7579613
20,2022-03-08 13:37:38.888633+00:00,3.3735023,9.7668219,26.3429298,20.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.04,0,9.7668219
21,2022-03-08 13:37:42.261133+00:00,3.3725443,9.7723703,26.2902088,20.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.04,0,9.7723703
22,2022-03-08 13:37:45.633905+00:00,3.3726537,9.7717371,26.2151260,20.03,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.03,0,9.7717371
23,2022-03-08 13:37:49.007761+00:00,3.3738813,9.7646265,26.1457806,20.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.04,0,9.7646265
24,2022-03-08 13:37:52.381304+00:00,3.3737061,9.7656412,26.1297188,20.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.04,0,9.7656412
25,2022-03-08 13:37:55.754577+00:00,3.3732233,9.7684364,26.1001873,20.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.04,0,9.7684364
26,2022-03-08 13:37:59.127630+00:00,3.3730960,9.7691746,26.0834522,20.05,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.05,0,9.7691746
27,2022-03-08 13:38:02.501904+00:00,3.3743691,9.7618036,26.1124229,20.09,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.09,0,9.7618036
28,2022-03-08 13:38:05.876230+00:00,3.3744063,9.7615891,26.1398525,20.06,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.06,0,9.7615891
29,2022-03-08 13:38:09.249449+00:00,3.3734095,9.7673578,26.1363068,20.05,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.05,0,9.7673578
30,2022-03-08 13:38:12.621553+00:00,3.3718936,9.7761421,26.0553894,20.03,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.03,0,9.7761421
31,2022-03-08 13:38:15.995013+00:00,3.3734970,9.7668514,26.0072784,20.09,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.09,0,9.7668514
32,2022-03-08 13:38:19.368756+00:00,3.3737564,9.7653494,25.9466248,20.05,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.05,0,9.7653494
33,2022-03-08 13:38:22.742227+00:00,3.3735685,9.7664375,25.9210587,20.03,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.03,0,9.7664375
34,2022-03-08 13:38:26.115302+00:00,3.3730240,9.7695923,25.8966446,20.10,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.10,0,9.7695923
35,2022-03-08 13:38:29.488348+00:00,3.3732631,9.7682056,25.9029579,20.10,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.10,0,9.7682056
36,2022-03-08 13:38:32.863493+00:00,3.3751135,9.7574987,25.9237366,20.08,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.08,0,9.7574987
37,2022-03-08 13:38:36.237262+00:00,3.3737702,9.7652702,25.9487190,20.11,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.11,0,9.7652702
38,2022-03-08 13:38:39.610143+00:00,3.3729625,9.7699480,25.9259644,20.11,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.11,0,9.7699480
39,2022-03-08 13:38:42.982091+00:00,3.3720396,9.7752962,25.8255997,20.13,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.13,0,9.7752962
40,2022-03-08 13:38:46.355725+00:00,3.3736763,9.7658138,25.7897758,20.12,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.12,0,9.7658138
41,2022-03-08 13:38:49.729643+00:00,3.3739824,9.7640419,25.7440605,20.11,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.11,0,9.7640419
42,2022-03-08 13:38:53.102767+00:00,3.3733082,9.7679453,25.7177639,20.13,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.13,0,9.7679453
43,2022-03-08 13:38:56.475848+00:00,3.3731523,9.7688484,25.6899071,20.12,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.12,0,9.7688484
44,2022-03-08 13:38:59.849516+00:00,3.3737116,9.7656097,25.7137794,20.17,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.17,0,9.7656097
45,2022-03-08 13:39:03.224494+00:00,3.3749456,9.7584696,25.7433739,20.13,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.13,0,9.7584696
46,2022-03-08 13:39:06.597901+00:00,3.3734179,9.7673101,25.7522106,20.20,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.20,0,9.7673101
47,2022-03-08 13:39:09.969946+00:00,3.3722794,9.7739058,25.6937752,20.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.16,0,9.7739058
48,2022-03-08 13:39:13.343016+00:00,3.3729339,9.7701130,25.6247387,20.18,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.18,0,9.7701130
49,2022-03-08 13:39:16.716506+00:00,3.3737299,9.7655029,25.5586948,20.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.16,0,9.7655029
50,2022-03-08 13:39:20.090329+00:00,3.3737650,9.7652998,25.5392189,20.18,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.18,0,9.7652998
51,2022-03-08 13:39:23.463001+00:00,3.3730211,9.7696085,25.5110054,20.23,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.23,0,9.7696085
52,2022-03-08 13:39:26.836380+00:00,3.3731403,9.7689180,25.5011368,20.20,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.20,0,9.7689180
