sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-04-01 13:48:33.423654+00:00,3.3735771,9.7663879,26.6452274,20.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.86,0,9.7663879
2,2022-04-01 13:48:36.796489+00:00,3.3735452,9.7665730,26.6324425,20.89,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.89,0,9.7665730
3,2022-04-01 13:48:40.169737+00:00,3.3734088,9.7673626,26.6027584,20.88,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.88,0,9.7673626
4,2022-04-01 13:48:43.542850+00:00,3.3732445,9.7683144,26.6135006,20.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.86,0,9.7683144
5,2022-04-01 13:48:46.917550+00:00,3.3744683,9.7612295,26.6265526,20.88,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.88,0,9.7612295
6,2022-04-01 13:48:50.291554+00:00,3.3740101,9.7638817,26.6293545,20.89,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.89,0,9.7638817
7,2022-04-01 13:48:53.663985+00:00,3.3726747,9.7716150,26.5858002,20.88,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.88,0,9.7716150
8,2022-04-01 13:48:57.036525+00:00,3.3729000,9.7703094,26.5445137,20.78,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.78,0,9.7703094
9,2022-04-01 13:49:00.410763+00:00,3.3736908,9.7657299,26.5034924,20.83,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.83,0,9.7657299
10,2022-04-01 13:49:03.784617+00:00,3.3736753,9.7658195,26.4486294,20.84,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.84,0,9.7658195
11,2022-04-01 13:49:07.157866+00:00,3.3733158,9.7679005,26.4189796,20.81,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.81,0,9.7679005
12,2022-04-01 13:49:10.531243+00:00,3.3733404,9.7677584,26.4050102,20.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.86,0,9.7677584
13,2022-04-01 13:49:13.904895+00:00,3.3736386,9.7660322,26.4162464,20.87,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.87,0,9.7660322
14,2022-04-01 13:49:17.279283+00:00,3.3746290,9.7603006,26.4221134,20.87,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.87,0,9.7603006
15,2022-04-01 13:49:20.652887+00:00,3.3734131,9.7673378,26.4214592,20.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.86,0,9.7673378
16,2022-04-01 13:49:24.025255+00:00,3.3723617,9.7734289,26.3614635,20.87,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.87,0,9.7734289
17,2022-04-01 13:49:27.398638+00:00,3.3735092,9.7667809,26.3284359,20.88,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.88,0,9.7667809
18,2022-04-01 13:49:30.772350+00:00,3.3735902,9.7663126,26.2687931,20.90,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.90,0,9.7663126
19,2022-04-01 13:49:34.145712+00:00,3.3736007,9.7662516,26.2447338,20.87,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.87,0,9.7662516
20,2022-04-01 13:49:37.519177+00:00,3.3733177,9.7678900,26.2171078,20.81,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.81,0,9.7678900
21,2022-04-01 13:49:40.892536+00:00,3.3732643,9.7681990,26.2195454,20.85,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.85,0,9.7681990
22,2022-04-01 13:49:44.266591+00:00,3.3740847,9.7634497,26.2304192,20.88,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.88,0,9.7634497
23,2022-04-01 13:49:47.640944+00:00,3.3743367,9.7619915,26.2309246,20.85,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.85,0,9.7619915
24,2022-04-01 13:49:51.013881+00:00,3.3729396,9.7700806,26.2047749,20.90,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.90,0,9.7700806
25,2022-04-01 13:49:54.386527+00:00,3.3726394,9.7718201,26.1546669,20.96,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.96,0,9.7718201
26,2022-04-01 13:49:57.759850+00:00,3.3736162,9.7661619,26.1166000,20.91,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.91,0,9.7661619
27,2022-04-01 13:50:01.133796+00:00,3.3736105,9.7661953,26.0595970,20.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.93,0,9.7661953
28,2022-04-01 13:50:04.507201+00:00,3.3734546,9.7670975,26.0383701,20.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.92,0,9.7670975
29,2022-04-01 13:50:07.880659+00:00,3.3734593,9.7670698,26.0075970,20.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.92,0,9.7670698
30,2022-04-01 13:50:11.253946+00:00,3.3732603,9.7682219,26.0250969,20.91,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.91,0,9.7682219
31,2022-04-01 13:50:14.628501+00:00,3.3745868,9.7605448,26.0320396,20.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.94,0,9.7605448
32,2022-04-01 13:50:18.002272+00:00,3.3737311,9.7654963,26.0363960,20.95,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.95,0,9.7654963
33,2022-04-01 13:50:21.374576+00:00,3.3725219,9.7725010,25.9815712,20.95,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.95,0,9.7725010
34,2022-04-01 13:50:24.747992+00:00,3.3731351,9.7689476,25.9458790,20.90,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.90,0,9.7689476
35,2022-04-01 13:50:28.121571+00:00,3.3736148,9.7661705,25.9061699,20.95,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.95,0,9.7661705
36,2022-04-01 13:50:31.495106+00:00,3.3736711,9.7658443,25.8627071,20.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.94,0,9.7658443
37,2022-04-01 13:50:34.868385+00:00,3.3732567,9.7682438,25.8310051,20.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.94,0,9.7682438
38,2022-04-01 13:50:38.241930+00:00,3.3733816,9.7675200,25.8255997,20.96,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.96,0,9.7675200
39,2022-04-01 13:50:41.615538+00:00,3.3737717,9.7652617,25.8350067,20.97,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.97,0,9.7652617
40,2022-04-01 13:50:44.990026+00:00,3.3744721,9.7612076,25.8370399,20.96,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.96,0,9.7612076
41,2022-04-01 13:50:48.363501+00:00,3.3733597,9.7676468,25.8338432,20.97,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.97,0,9.7676468
42,2022-04-01 13:50:51.735867+00:00,3.3723381,9.7735662,25.7675648,20.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.98,0,9.7735662
43,2022-04-01 13:50:55.109420+00:00,3.3735366,9.7666225,25.7404442,20.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.98,0,9.7666225
44,2022-04-01 13:50:58.483038+00:00,3.3736153,9.7661667,25.6803627,20.95,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.95,0,9.7661667
45,2022-04-01 13:51:01.856442+00:00,3.3735278,9.7666731,25.6556053,20.96,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.96,0,9.7666731
46,2022-04-01 13:51:05.229981+00:00,3.3733861,9.7674932,25.6300182,21.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.04,0,9.7674932
47,2022-04-01 13:51:08.603152+00:00,3.3731585,9.7688122,25.6391716,20.99,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.99,0,9.7688122
48,2022-04-01 13:51:11.977446+00:00,3.3742719,9.7623672,25.6469231,21.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.01,0,9.7623672
49,2022-04-01 13:51:15.351602+00:00,3.3741517,9.7630615,25.6508446,21.03,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.03,0,9.7630615
50,2022-04-01 13:51:18.724406+00:00,3.3727736,9.7710419,25.6192188,21.00,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.00,0,9.7710419
51,2022-04-01 13:51:22.096940+00:00,3.3727250,9.7713232,25.5692005,20.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.98,0,9.7713232
52,2022-04-01 13:51:25.470812+00:00,3.3736873,9.7657499,25.5296535,20.97,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.97,0,9.7657499
53,2022-04-01 13:51:28.844391+00:00,3.3735611,9.7664804,25.4803104,21.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,21.01,0,9.7664804
