sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-01-24 03:12:34.929796+00:00,3.3737180,9.7655716,26.6632404,19.12,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.12,0,9.7655716
2,2022-01-24 03:12:38.302820+00:00,3.3737531,9.7653694,26.6237755,19.24,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.24,0,9.7653694
3,2022-01-24 03:12:41.676050+00:00,3.3733046,9.7679663,26.5977364,19.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.19,0,9.7679663
4,2022-01-24 03:12:45.049413+00:00,3.3733845,9.7675028,26.5998459,19.17,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.17,0,9.7675028
5,2022-01-24 03:12:48.423721+00:00,3.3741555,9.7630405,26.6122189,19.17,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.17,0,9.7630405
6,2022-01-24 03:12:51.798216+00:00,3.3744988,9.7610531,26.6234665,19.14,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.14,0,9.7610531
7,2022-01-24 03:12:55.171234+00:00,3.3731089,9.7690992,26.6068840,19.15,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.15,0,9.7690992
8,2022-01-24 03:12:58.543673+00:00,3.3723564,9.7734604,26.5332603,19.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.19,0,9.7734604
9,2022-01-24 03:13:01.917355+00:00,3.3737459,9.7654104,26.5016098,19.12,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.12,0,9.7654104
10,2022-01-24 03:13:05.291285+00:00,3.3736377,9.7660370,26.4402905,19.11,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.11,0,9.7660370
11,2022-01-24 03:13:08.664845+00:00,3.3735418,9.7665920,26.4212933,19.17,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.17,0,9.7665920
12,2022-01-24 03:13:12.038216+00:00,3.3734264,9.7672606,26.3863888,19.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.16,0,9.7672606
13,2022-01-24 03:13:15.411617+00:00,3.3733273,9.7678347,26.3984718,19.14,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.14,0,9.7678347
14,2022-01-24 03:13:18.786388+00:00,3.3747225,9.7597599,26.4189110,19.10,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.10,0,9.7597599
15,2022-01-24 03:13:22.160278+00:00,3.3739271,9.7643614,26.4245930,19.17,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.17,0,9.7643614
16,2022-01-24 03:13:25.532892+00:00,3.3726192,9.7719364,26.3857841,19.18,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.18,0,9.7719364
17,2022-01-24 03:13:28.905812+00:00,3.3728480,9.7706108,26.3283901,19.17,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.17,0,9.7706108
18,2022-01-24 03:13:32.279463+00:00,3.3736768,9.7658110,26.2940979,19.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.16,0,9.7658110
19,2022-01-24 03:13:35.653180+00:00,3.3737388,9.7654514,26.2361794,19.20,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.20,0,9.7654514
20,2022-01-24 03:13:39.026605+00:00,3.3733726,9.7675724,26.2117214,19.17,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.17,0,9.7675724
21,2022-01-24 03:13:42.399938+00:00,3.3733382,9.7677717,26.1958542,19.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.19,0,9.7677717
22,2022-01-24 03:13:45.773801+00:00,3.3738461,9.7648315,26.2089367,19.24,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.24,0,9.7648315
23,2022-01-24 03:13:49.148409+00:00,3.3746490,9.7601852,26.2221031,19.20,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.20,0,9.7601852
24,2022-01-24 03:13:52.522113+00:00,3.3735170,9.7667360,26.2237148,19.20,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.20,0,9.7667360
25,2022-01-24 03:13:55.894278+00:00,3.3722901,9.7738438,26.1463528,19.22,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.22,0,9.7738438
