sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-01-15 09:12:34.989394+00:00,3.3738949,9.7645483,26.4769363,18.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.94,0,9.7645483
2,2022-01-15 09:12:38.362547+00:00,3.3737876,9.7651691,26.3746433,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7651691
3,2022-01-15 09:12:41.736050+00:00,3.3734286,9.7672472,26.3464622,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7672472
4,2022-01-15 09:12:45.109273+00:00,3.3732467,9.7683010,26.3950424,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7683010
5,2022-01-15 09:12:48.484571+00:00,3.3751755,9.7571402,26.4351883,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7571402
6,2022-01-15 09:12:51.857629+00:00,3.3729343,9.7701101,26.4818420,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7701101
7,2022-01-15 09:12:55.231083+00:00,3.3735230,9.7667017,26.4354458,18.89,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.89,0,9.7667017
8,2022-01-15 09:12:58.605235+00:00,3.3739185,9.7644110,26.4559650,18.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.94,0,9.7644110
9,2022-01-15 09:13:01.977341+00:00,3.3720522,9.7752228,26.3193150,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7752228
10,2022-01-15 09:13:05.351398+00:00,3.3740048,9.7639112,26.2246571,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7639112
11,2022-01-15 09:13:08.725095+00:00,3.3735299,9.7666616,26.1589985,18.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.94,0,9.7666616
12,2022-01-15 09:13:12.098619+00:00,3.3734605,9.7670631,26.1401291,18.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.94,0,9.7670631
13,2022-01-15 09:13:15.471772+00:00,3.3730378,9.7695112,26.1798916,18.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.94,0,9.7695112
14,2022-01-15 09:13:18.847203+00:00,3.3753641,9.7560501,26.2718430,18.96,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.96,0,9.7560501
15,2022-01-15 09:13:22.220276+00:00,3.3731050,9.7691221,26.2334595,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7691221
16,2022-01-15 09:13:25.594330+00:00,3.3738770,9.7646513,26.2115364,18.95,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.95,0,9.7646513
17,2022-01-15 09:13:28.966089+00:00,3.3719282,9.7759418,26.2128010,18.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.98,0,9.7759418
