temperature_average (c);gravity_average (m/s2);velocity_average (m/s);period_average (s);samples;datetime_start (utc);datetime_end (utc);data_t_corrected;country;city;university;lat;long;alt
19.277656249999993;9.766185685937499;25.719519315625007;3.3736123609375004;64;2022-01-14 19:00:33.863954+00:00;2022-01-14 19:04:06.405267+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.235468749999992;9.7663316609375;25.677535653125005;3.3735871015624994;64;2022-01-14 19:12:34.867179+00:00;2022-01-14 19:16:07.398309+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.235781249999988;9.766275932812503;25.717442626562498;3.373596764062499;64;2022-01-14 19:24:33.955294+00:00;2022-01-14 19:28:06.487634+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.212812499999995;9.766461712499998;25.67770975937501;3.3735646515625013;64;2022-01-14 19:36:34.938816+00:00;2022-01-14 19:40:07.477792+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.199218749999996;9.76636648125;25.695873975;3.3735810765625;64;2022-01-14 19:48:33.935773+00:00;2022-01-14 19:52:06.476476+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.190156249999998;9.7665378953125;25.706502051562495;3.3735514703124996;64;2022-01-14 20:00:34.946824+00:00;2022-01-14 20:04:07.467720+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.211249999999993;9.766560821875;25.736174582812502;3.37354731875;64;2022-01-14 20:12:33.935668+00:00;2022-01-14 20:16:06.471302+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.207812499999996;9.766602515625003;25.767063024999995;3.3735402359374995;64;2022-01-14 20:24:34.879538+00:00;2022-01-14 20:28:07.417718+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.20453124999999;9.766619310937502;25.732044579687507;3.373537412500001;64;2022-01-14 20:36:33.876414+00:00;2022-01-14 20:40:06.406728+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
19.190312500000005;9.766598040625;25.766047429687497;3.3735409843749986;64;2022-01-14 20:48:34.860368+00:00;2022-01-14 20:52:07.402028+00:00;False;CO;BOG;Uniandes;4.6012;-74.0657;2630
