sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-01-15 20:36:34.475674+00:00,3.3744636,9.7612572,26.5668297,18.72,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.72,0,9.7612572
2,2022-01-15 20:36:37.849476+00:00,3.3744187,9.7615166,26.5908203,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7615166
3,2022-01-15 20:36:41.222643+00:00,3.3733075,9.7679501,26.5836239,18.74,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.74,0,9.7679501
4,2022-01-15 20:36:44.594838+00:00,3.3720260,9.7753754,26.4894562,18.77,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.77,0,9.7753754
5,2022-01-15 20:36:47.968445+00:00,3.3737011,9.7656708,26.4510880,18.74,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.74,0,9.7656708
6,2022-01-15 20:36:51.342413+00:00,3.3738174,9.7649965,26.4010410,18.73,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.73,0,9.7649965
7,2022-01-15 20:36:54.715960+00:00,3.3735895,9.7663155,26.3705444,18.73,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.73,0,9.7663155
8,2022-01-15 20:36:58.089114+00:00,3.3731179,9.7690477,26.3461361,18.74,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.74,0,9.7690477
9,2022-01-15 20:37:01.462492+00:00,3.3733730,9.7675705,26.3454170,18.72,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.72,0,9.7675705
10,2022-01-15 20:37:04.837625+00:00,3.3750777,9.7577057,26.3713112,18.73,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.73,0,9.7577057
11,2022-01-15 20:37:08.211564+00:00,3.3738241,9.7649584,26.3929195,18.72,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.72,0,9.7649584
12,2022-01-15 20:37:11.584223+00:00,3.3728042,9.7708654,26.3530655,18.73,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.73,0,9.7708654
13,2022-01-15 20:37:14.956854+00:00,3.3724668,9.7728205,26.2719116,18.72,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.72,0,9.7728205
14,2022-01-15 20:37:18.330582+00:00,3.3737683,9.7652817,26.2347965,18.74,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.74,0,9.7652817
15,2022-01-15 20:37:21.704368+00:00,3.3739073,9.7644768,26.1831264,18.74,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.74,0,9.7644768
16,2022-01-15 20:37:25.077814+00:00,3.3733296,9.7678213,26.1597309,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7678213
17,2022-01-15 20:37:28.450996+00:00,3.3732159,9.7684793,26.1349812,18.72,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.72,0,9.7684793
18,2022-01-15 20:37:31.824813+00:00,3.3738384,9.7648754,26.1552391,18.74,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.74,0,9.7648754
19,2022-01-15 20:37:35.199684+00:00,3.3748550,9.7589931,26.1790867,18.74,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.74,0,9.7589931
20,2022-01-15 20:37:38.572931+00:00,3.3735404,9.7666006,26.1929798,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7666006
21,2022-01-15 20:37:41.945281+00:00,3.3721366,9.7747345,26.1192513,18.74,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.74,0,9.7747345
22,2022-01-15 20:37:45.318553+00:00,3.3732934,9.7680311,26.0601864,18.74,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.74,0,9.7680311
23,2022-01-15 20:37:48.692007+00:00,3.3738513,9.7648001,25.9984474,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7648001
24,2022-01-15 20:37:52.065868+00:00,3.3736482,9.7659760,25.9798088,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7659760
25,2022-01-15 20:37:55.438771+00:00,3.3731079,9.7691059,25.9516754,18.77,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.77,0,9.7691059
26,2022-01-15 20:37:58.812345+00:00,3.3733554,9.7676716,25.9493732,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7676716
27,2022-01-15 20:38:02.187035+00:00,3.3747182,9.7597847,25.9715843,18.77,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.77,0,9.7597847
28,2022-01-15 20:38:05.561086+00:00,3.3741953,9.7628098,25.9934464,18.78,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.78,0,9.7628098
29,2022-01-15 20:38:08.934174+00:00,3.3731060,9.7691154,25.9769611,18.77,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.77,0,9.7691154
30,2022-01-15 20:38:12.305747+00:00,3.3720391,9.7753000,25.8810005,18.80,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.80,0,9.7753000
31,2022-01-15 20:38:15.679816+00:00,3.3737066,9.7656384,25.8513546,18.82,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.82,0,9.7656384
32,2022-01-15 20:38:19.053716+00:00,3.3738589,9.7647572,25.8027687,18.82,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.82,0,9.7647572
33,2022-01-15 20:38:22.427117+00:00,3.3734684,9.7670174,25.7732601,18.83,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.83,0,9.7670174
34,2022-01-15 20:38:25.800325+00:00,3.3732262,9.7684202,25.7466145,18.84,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.84,0,9.7684202
35,2022-01-15 20:38:29.173634+00:00,3.3733797,9.7675314,25.7552757,18.82,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.82,0,9.7675314
36,2022-01-15 20:38:32.548487+00:00,3.3750424,9.7579088,25.7748394,18.81,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.81,0,9.7579088
37,2022-01-15 20:38:35.922272+00:00,3.3737216,9.7655516,25.7946777,18.82,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.82,0,9.7655516
38,2022-01-15 20:38:39.294745+00:00,3.3725288,9.7724609,25.7504349,18.81,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.81,0,9.7724609
39,2022-01-15 20:38:42.667393+00:00,3.3726854,9.7715530,25.6775131,18.85,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.85,0,9.7715530
40,2022-01-15 20:38:46.040974+00:00,3.3737872,9.7651711,25.6211090,18.83,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.83,0,9.7651711
41,2022-01-15 20:38:49.414813+00:00,3.3738174,9.7649965,25.5904579,18.84,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.84,0,9.7649965
42,2022-01-15 20:38:52.788069+00:00,3.3732600,9.7682238,25.5634212,18.82,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.82,0,9.7682238
43,2022-01-15 20:38:56.161121+00:00,3.3731687,9.7687531,25.5466251,18.84,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.84,0,9.7687531
44,2022-01-15 20:38:59.535091+00:00,3.3740973,9.7633762,25.5657845,18.85,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.85,0,9.7633762
45,2022-01-15 20:39:02.909789+00:00,3.3747330,9.7596989,25.5972366,18.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.86,0,9.7596989
46,2022-01-15 20:39:06.282915+00:00,3.3733497,9.7677059,25.5914879,18.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.86,0,9.7677059
47,2022-01-15 20:39:09.654951+00:00,3.3719811,9.7756348,25.5129890,18.85,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.85,0,9.7756348
48,2022-01-15 20:39:13.028393+00:00,3.3735154,9.7667456,25.4695740,18.85,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.85,0,9.7667456
49,2022-01-15 20:39:16.402064+00:00,3.3737626,9.7653141,25.4118309,18.84,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.84,0,9.7653141
50,2022-01-15 20:39:19.775548+00:00,3.3735728,9.7664127,25.3867912,18.90,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.90,0,9.7664127
51,2022-01-15 20:39:23.148248+00:00,3.3731000,9.7691507,25.3630486,18.85,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.85,0,9.7691507
52,2022-01-15 20:39:26.521765+00:00,3.3733225,9.7678623,25.3664322,18.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.86,0,9.7678623
53,2022-01-15 20:39:29.896602+00:00,3.3748960,9.7587566,25.3788929,18.87,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.87,0,9.7587566
54,2022-01-15 20:39:33.270524+00:00,3.3740478,9.7636633,25.4017792,18.89,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.89,0,9.7636633
55,2022-01-15 20:39:36.643365+00:00,3.3729403,9.7700768,25.3730507,18.88,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.88,0,9.7700768
56,2022-01-15 20:39:40.015290+00:00,3.3721027,9.7749310,25.2870789,18.89,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.89,0,9.7749310
57,2022-01-15 20:39:43.388952+00:00,3.3736513,9.7659578,25.2627316,18.89,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.89,0,9.7659578
58,2022-01-15 20:39:46.762844+00:00,3.3739638,9.7641487,25.2108154,18.91,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.91,0,9.7641487
59,2022-01-15 20:39:50.136074+00:00,3.3733618,9.7676344,25.1820278,18.91,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.91,0,9.7676344
60,2022-01-15 20:39:53.509043+00:00,3.3732014,9.7685633,25.1548729,18.88,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.88,0,9.7685633
61,2022-01-15 20:39:56.882675+00:00,3.3735590,9.7664938,25.1732597,18.90,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.90,0,9.7664938
62,2022-01-15 20:40:00.257512+00:00,3.3749695,9.7583313,25.1950321,18.89,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.89,0,9.7583313
63,2022-01-15 20:40:03.630994+00:00,3.3735886,9.7663221,25.2074108,18.89,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.89,0,9.7663221
64,2022-01-15 20:40:07.003122+00:00,3.3722548,9.7740488,25.1499157,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7740488
